page_chunk,page_number,group_value,group_confidence,group_notes_value,group_notes_confidence,series_value,series_confidence,series_notes_value,series_notes_confidence,unit_value,unit_confidence,finding_aid_reference_raw_value,finding_aid_reference_raw_confidence,text_value,text_confidence,start_date_original_value,start_date_original_confidence,end_date_original_value,end_date_original_confidence,start_date_formatted_value,start_date_formatted_confidence,end_date_formatted_value,end_date_formatted_confidence,annotations
1,1-5,,,,,,,,,,,,,Records Received into Custody.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,,,Name: The Operative Painters and Decorators' Union of Australia. Victorian branch.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,,,"Address: Box 46, Trades Hall, Carlton South, 3053.",5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,,,Main Activity: Union organization.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,,,Transferors: The union.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,,,"General Note: This valuable collection of records provides fresh information about one of Victoria's earliest craft unions, the Operative Painters & Decorators, during the period 1886 to 1971. It contains a wide range of material, including Minute Books(1886-1937); rule books; correspondence ( inward/ outward); awards and determinations, pamphlets, circulars, mewspaper cuttings, journals reports and other printed material. The pre-1900 records uncover new facts about the Painters' involvement with the Political Labour League, which preceded the Victorian Labor Party, Tom Mann, the I.W.W. and the 1890s depression. There is interesting information, too, about the union's long history of support for pacifism- from its involvement in the 1916 anti-conscription campaign to the 1930 Anti-War Committee and, more recently, Painters' support for the 1966-7 Seamen's Union ban on ships carrying war supplies to Vietnam.",5/5,1886,5/5,1971,5/5,1886-01-01,5/5,1971-01-01,5/5,[]
1,1-5,,,,,,,,,,,,,"The collection is strongest in the area of union industrial activity, such as the formation and operation of a Painters Wages Board from 1910, when the union was first registered under the Conciliation and Arbitration Act; union officials' involvement in arbitration and workers' compensation, and their concern about painting artisans' conditions in the Public Works Department and on Housing Commission projects.",5/5,1910,5/5,,,1910-01-01,5/5,,,[]
1,1-5,,,,,List of Records.,5/5,,,,,,,List of Records.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,,,The records are divided into 12 groups as follows:,5/5,,,,,,,,,[]
1,1-5,1,5/5,"Group 1: Minute Books, 1886-1937.",5/5,,,,,,,,,"Group 1: Minute Books, 1886-1937.",5/5,1886,5/5,1937,5/5,1886-01-01,5/5,1937-01-01,5/5,[]
1,1-5,2,5/5,Group 2: Rule Books and Awards.,5/5,,,,,,,,,Group 2: Rule Books and Awards.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,2/1.,5/5,Rule Books.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,2/2.,5/5,"Awards, determinations, agreements.",5/5,,,,,,,,,[]
1,1-5,3,5/5,"Group 3: Early History, 1886-1909.",5/5,,,,,,,,,"Group 3: Early History, 1886-1909.",5/5,1886,5/5,1909,5/5,1886-01-01,5/5,1909-01-01,5/5,[]
1,1-5,4,5/5,Group 4: Registration.,5/5,,,,,,,,,Group 4: Registration.,5/5,,,,,,,,,[]
1,1-5,5,5/5,Group 5: Management.,5/5,,,,,,,,,Group 5: Management.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,5/1.,5/5,Victorian branch.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,5/2.,5/5,Federal Council.,5/5,,,,,,,,,[]
1,1-5,6,3/5,Group66: Correspondence.,3/5,,,,,,,,,Group66: Correspondence.,3/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,6/1.,5/5,Members' correspondence.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,6/2.,5/5,General correspondence.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,6/3.,5/5,Between branches.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,6/4.,5/5,"Trades Hall Council, 1946-7.",5/5,1946,5/5,1947,5/5,1946-01-01,5/5,1947-01-01,5/5,[]
1,1-5,,,,,,,,,,,6/5.,5/5,"Miscellaneous, 1965.",5/5,1965,5/5,,,1965-01-01,5/5,,,[]
1,1-5,7,5/5,Group 7: Legal.,5/5,,,,,,,,,Group 7: Legal.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,7/1.,5/5,Wages Board.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,7/2.,5/5,Workers compensation.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,7/3.,5/5,Arbitration.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,7/4.,5/5,Apprenticeship Commission.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,7/5.,5/5,Housing Commission.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,7/6.,5/5,Public Works Department.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,7/7.,5/5,Long Service Leave.,5/5,,,,,,,,,[]
1,1-5,8,5/5,Group 8: Amalgamation Campaign.,5/5,,,,,,,,,Group 8: Amalgamation Campaign.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,8/1.,5/5,Amalgamation ballots.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,8/2.,5/5,Legal opinion.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,8/3.,5/5,Correspondence.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,8/4.,5/5,"Pamphlets, newspaper cuttings.",5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,8/5.,5/5,National Working Committee on Amalgamation,5/5,,,,,,,,,[]
1,1-5,9,5/5,Group 9: Union Journal.,5/5,,,,,,,,,Group 9: Union Journal.,5/5,,,,,,,,,[]
1,1-5,10,5/5,Group 10: Ballarat and Geelong Sub-Branches.,5/5,,,,,,,,,Group 10: Ballarat and Geelong Sub-Branches.,5/5,,,,,,,,,[]
1,1-5,11,5/5,Group 11: Miscellaneous Material.,5/5,,,,,,,,,Group 11: Miscellaneous Material.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,11/1.,5/5,"Correspondence, circulars.",5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,11/2.,5/5,Printed material.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,11/3.,5/5,Labor Study League.,5/5,,,,,,,,,[]
