page_chunk,page_number,group_value,group_confidence,group_notes_value,group_notes_confidence,series_value,series_confidence,series_notes_value,series_notes_confidence,unit_value,unit_confidence,finding_aid_reference_raw_value,finding_aid_reference_raw_confidence,text_value,text_confidence,start_date_original_value,start_date_original_confidence,end_date_original_value,end_date_original_confidence,start_date_formatted_value,start_date_formatted_confidence,end_date_formatted_value,end_date_formatted_confidence,annotations
1,1-5,1,5/5,GROUP 1. MINUTE BOOKS AND JOURNALS,5/5,,,,,,,,,GROUP 1. MINUTE BOOKS AND JOURNALS,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,1/1,5/5,Minute Books 1945-1965.,5/5,1945,5/5,1965,5/5,1945-01-01,5/5,1965-01-01,5/5,[]
1,1-5,,,,,,,,,,,1/2,5/5,"Diaries, Journals 1951-1965.",5/5,1951,5/5,1965,5/5,1951-01-01,5/5,1965-01-01,5/5,[]
1,1-5,2,5/5,GROUP 2. MANAGEMENT,5/5,,,,,,,,,GROUP 2. MANAGEMENT,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,2/1,5/5,Rules,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,2/2,5/5,Applications for membership,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,2/3,5/5,Membership registers,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,2/4,5/5,Accounts,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,2/5,5/5,Miscellaneous,5/5,,,,,,,,,[]
1,1-5,3,5/5,GROUP 3. CORRESPONDENCE,5/5,,,,,,,,,GROUP 3. CORRESPONDENCE,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,3/1,5/5,Members' correspondence,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,3/2,5/5,Between branches,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,3/3,5/5,General correspondence,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,3/4,5/5,Correspondence with W.W.F. Vic. Branch.,5/5,,,,,,,,,[]
1,1-5,4,5/5,GROUP 4. AGREEMENTS AND AWARDS,5/5,,,,,,,,,GROUP 4. AGREEMENTS AND AWARDS,5/5,,,,,,,,,[]
1,1-5,5,5/5,GROUP 5. LEGAL,5/5,,,,,,,,,GROUP 5. LEGAL,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,5/1,5/5,Melbourne Harbour Trust,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,5/2,5/5,Australian Stevedoring Industry Authority,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,5/3,5/5,Workers' Compensation,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,5/4,5/5,Long Service Leave,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,5/5,5/5,"AFSA Federal Award, 1970.",5/5,1970.,5/5,,,1970-01-01,5/5,,,[]
1,1-5,6,5/5,GROUP 6. COMBINED UNION GROUPS,5/5,,,,,,,,,GROUP 6. COMBINED UNION GROUPS,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,6/1,5/5,Combined Maritime Unions,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,6/2,5/5,Combined Transport Unions,5/5,,,,,,,,,[]
1,1-5,7,5/5,GROUP 7 R.M.I.T. COURSE,5/5,,,,,,,,,GROUP 7 R.M.I.T. COURSE,5/5,,,,,,,,,[]
1,1-5,8,5/5,GROUP 8. VICTORIAN TRADES HALL COUNCIL,5/5,,,,,,,,,GROUP 8. VICTORIAN TRADES HALL COUNCIL,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,8/1,5/5,Statements of accounts 1961-1964.,5/5,1961,5/5,1964,5/5,1961-01-01,5/5,1964-01-01,5/5,[]
1,1-5,,,,,,,,,,,8/2,5/5,"Correspondence, circulars 1958-1966.",5/5,1958,5/5,1966,5/5,1958-01-01,5/5,1966-01-01,5/5,[]
1,1-5,,,,,,,,,,,8/3,5/5,Speakers' Notes 1963-1965.,5/5,1963,5/5,1965,5/5,1963-01-01,5/5,1965-01-01,5/5,[]
1,1-5,9,5/5,GROUP 9. PRINTED MATERIAL,5/5,,,,,,,,,GROUP 9. PRINTED MATERIAL,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,9/1,5/5,Union Journals.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,9/2,5/5,A.C.T.U.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,9/3,5/5,A.L.P.,5/5,,,,,,,,,[]
1,1-5,10,5/5,GROUP 10. SUPPLEMENTARY MATERIAL,5/5,,,,,,,,,GROUP 10. SUPPLEMENTARY MATERIAL,5/5,,,,,,,,,[]
1,1-5,1,5/5,GROUP 1. MINUTE BOOKS AND JOURNALS,5/5,,,,,,,,,GROUP 1. MINUTE BOOKS AND JOURNALS,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,1/1,5/5,Minute Books 1945-1965.,5/5,1945,5/5,1965,5/5,1945-01-01,5/5,1965-01-01,5/5,[]
